booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,status_valid
B1015,P1431,UK094,2025-10-21 11:37:36.951,,D1102867,6F,George Rai,+91-7155145012,False
B1033,P1987,UK026,2025-05-06 11:37:36.951,,V4907938,19A,Anamika Kanda,+91-7517714041,False
B1045,P1057,SJ214,2026-03-19 11:37:36.951,,B1042462,18C,Theodore Devi,+91-9179883432,False
B1049,P1072,SJ153,2025-07-28 11:37:36.951,INVALID,W9848416,3C,Nathaniel Sami,+91-9199823067,False
B1097,P1959,6E017,2025-08-26 11:37:36.951,,J0164818,34F,Neha Nori,+91-6380899257,False
B1098,P1491,6E245,2025-10-15 11:37:36.951,,Z4287738,13D,Ikbal Kothari,+91-7667280675,False
B1102,P1448,SJ196,2025-10-06 11:37:36.951,INVALID,N2554026,15F,Arya Shere,+91-8464997824,False
B1162,P1027,AI146,2025-04-22 11:37:36.951,INVALID,N1917798,32D,Janya Baral,+91-7769629690,False
B1198,P1913,SJ022,2025-06-16 11:37:36.951,INVALID,J9791279,29A,Yashica More,+91-7713152983,False
B1208,P1284,SJ052,2025-07-22 11:37:36.951,INVALID,E1321767,9A,Riya Sathe,+91-6750512858,False
B1214,P1187,UK194,2025-08-14 11:37:36.951,,M5610399,23B,Dayita Kar,+91-9984219571,False
B1223,P1755,6E056,2026-04-09 11:37:36.951,,D8103068,15A,Hredhaan Sandal,+91-9528034660,False
B1237,P1754,AI047,2025-11-16 11:37:36.951,,T4077943,15B,Faras Mangal,+91-8569111042,False
B1238,P1296,SJ186,2025-10-20 11:37:36.951,,F3899499,8E,Wahab Magar,+91-9966524048,False
B1245,P1139,6E201,2026-04-17 11:37:36.951,,C2369149,26A,Ganga Shukla,+91-6269469724,False
B1268,P1657,AI102,2026-01-16 11:37:36.951,INVALID,Y9424894,12A,Ladli Mall,+91-8504087177,False
B1270,P1573,SJ017,2025-06-02 11:37:36.951,,F0456577,22E,Finn Singhal,+91-6713332228,False
B1273,P1892,AI150,2025-06-05 11:37:36.951,,Z5995300,28B,Udarsh Biswas,+91-7227146375,False
B1279,P1631,6E019,2025-05-10 11:37:36.951,,B3843753,28C,Tejas Shroff,+91-9908054052,False
