passenger_id,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth,aadhaar_str,aadhaar_valid,email_valid,phone_valid,name_complete,quality_score,_row_order
P1034,Isha An,Iyer,62,M,ishaan.iyer@outlook.com,+91-8679984033,122362316658,1964-08-14,122362316658,True,True,True,True,4,34
P1034,Isha An,Iyer,62,M,ishaan.iyer@gmail.com,+91-7994310083,669096705466,1964-09-24,669096705466,True,True,True,True,4,35
P1102,My Ra,Kulkarni,1,F,myra.kulkarni@rediffmail.com,+91-8128636900,606853615305,2025-02-27,606853615305,True,True,True,True,4,103
P1102,My Ra,Kulkarni,1,F,myra.kulkarni@outlook.com,+91-7247746438,47277901043,2025-03-18,47277901043,False,True,True,True,3,104
P1104,Viva An,Verma,88,F,vivaan.verma@gmail.com,+91-7871531100,246095396218,1938-06-03,246095396218,True,True,True,True,4,106
P1104,Viva An,Verma,88,F,vivaan.verma@hotmail.com,+91-6519246503,706540515319,1938-12-25,706540515319,True,True,True,True,4,107
P1104,Viva An,Verma,88,F,vivaan.verma@outlook.com,+91-7147605080,585277221704,1938-04-02,585277221704,True,True,True,True,4,108
P1108,Isha An,Kulkarni,8,M,ishaan.kulkarni@outlook.com,+91-9394801573,16582029702,2018-02-08,16582029702,False,True,True,True,3,112
P1108,Ishaankulkar Ni,,8,M,ishaankulkarni.user@outlook.com,+91-8511086777,909275571928,2018-06-13,909275571928,True,True,True,False,3,113
P1140,Shaur Ya,Singh,42,M,shaurya.singh@outlook.com,+91-6525146690,403910651801,1984-08-02,403910651801,True,True,True,True,4,145
P1140,Shaur Ya,Singh,42,M,shaurya.singh1@outlook.com,+91-9293253475,265676618251,1984-03-18,265676618251,True,True,True,True,4,146
P1141,S Ai,Kulkarni,77,M,sai.kulkarni@rediffmail.com,+91-7881531720,300478686337,1949-06-05,300478686337,True,True,True,True,4,147
P1141,Saikulkar Ni,,77,M,saikulkarni.user@outlook.com,+91-7878488534,106903311907,1949-10-22,106903311907,True,True,True,False,3,148
P1178,Kav Ya,Naidu,72,M,kavya.naidu@outlook.com,+91-8682014641,78361340745,1954-02-15,78361340745,False,True,True,True,3,185
P1178,Kavyanai Du,,72,M,kavyanaidu.user@gmail.com,+91-7325354965,959629233095,1954-09-09,959629233095,True,True,True,False,3,186
P1216,Ri Ya,Sharma,56,F,riya.sharma@outlook.com,+91-7367942460,154100676267,1970-07-12,154100676267,True,True,True,True,4,224
P1216,Ri Ya,Sharma,56,F,riya.sharma@hotmail.com,+91-9208908082,793271040541,1970-02-11,793271040541,True,True,True,True,4,225
P1236,My Ra,Sharma,20,F,myra.sharma@yahoo.com,+91-9821413281,584282417248,2006-03-22,584282417248,True,True,True,True,4,245
P1236,Myrashar Ma,,20,F,myrasharma.user@outlook.com,+91-6338642889,534655494717,2006-01-28,534655494717,True,True,True,False,3,246
P1252,Aadh Ya,Agarwal,16,M,aadhya.agarwal@rediffmail.com,+91-7987380851,890028772175,2010-04-11,890028772175,True,True,True,True,4,262
P1252,Aadh Ya,Agarwal,16,M,aadhya.agarwal@outlook.com,+91-6644311226,386631779717,2010-08-11,386631779717,True,True,True,True,4,263
P1331,Aadh Ya,Naidu,60,F,aadhya.naidu@yahoo.com,+91-7699602642,861957612286,1966-09-11,861957612286,True,True,True,True,4,343
P1331,Aadh Ya,Naidu,60,F,aadhya.naidu@gmail.com,+91-8668031793,14138113863,1966-04-17,14138113863,False,True,True,True,3,342
P1408,Di Ya,Mishra,16,F,diya.mishra@gmail.com,+91-7557641077,565198253092,2010-06-03,565198253092,True,True,True,True,4,420
P1408,Di Ya,Mishra,16,F,diya.mishra1@gmail.com,+91-8251651862,625827390219,2010-07-25,625827390219,True,True,True,True,4,421
P1408,Di Ya,Mishra,16,F,diya.mishra@yahoo.com,+91-6622877347,100219467232,2010-11-09,100219467232,True,True,True,True,4,422
P1413,Shaur Ya,Mehta,63,M,shaurya.mehta1@outlook.com,+91-7936418338,153136363179,1963-08-02,153136363179,True,True,True,True,4,427
P1413,Shaur Ya,Mehta,63,M,shaurya.mehta@rediffmail.com,+91-7332105574,972652735435,1963-03-02,972652735435,True,True,True,True,4,428
P1469,Aadh Ya,Reddy,84,F,aadhya.reddy1@outlook.com,+91-6792990377,900348645183,1942-08-13,900348645183,True,True,True,True,4,484
P1469,Aadh Ya,Reddy,84,F,aadhya.reddy@gmail.com,+91-9374377213,413432756041,1942-08-16,413432756041,True,True,True,True,4,485
P1542,S Ai,Kulkarni,52,M,sai.kulkarni@outlook.com,+91-8108677810,892038806533,1974-11-07,892038806533,True,True,True,True,4,558
P1542,S Ai,Kulkarni,52,M,sai.kulkarni@gmail.com,+91-8303318997,779599594652,1974-02-15,779599594652,True,True,True,True,4,559
P1615,Kav Ya,Patel,25,M,kavya.patel@hotmail.com,+91-8692213965,491025625889,2001-07-16,491025625889,True,True,True,True,4,632
P1615,Kav Ya,Patel,25,M,kavya.patel1@hotmail.com,+91-7378164668,82226940539,2001-07-23,82226940539,False,True,True,True,3,633
P1630,Aadh Ya,Chatterjee,75,F,aadhya.chatterjee1@outlook.com,+91-9365180555,502000534749,1951-02-14,502000534749,True,True,True,True,4,648
P1630,Aadh Ya,Chatterjee,75,F,aadhya.chatterjee2@yahoo.com,+91-8627514698,554110825559,1951-09-20,554110825559,True,True,True,True,4,649
P1695,Kav Ya,Iyer,59,M,kavya.iyer@outlook.com,+91-6131447949,300215632135,1967-09-01,300215632135,True,True,True,True,4,714
P1695,Kav Ya,Iyer,59,M,kavya.iyer@gmail.com,+91-8942827240,10414596422,1967-10-15,10414596422,False,True,True,True,3,715
P1711,I Ra,Joshi,37,F,ira.joshi@outlook.com,+91-6565423722,795410727284,1989-10-18,795410727284,True,True,True,True,4,731
P1711,I Ra,Joshi,37,F,ira.joshi@yahoo.com,+91-8622724151,414070349107,1989-05-01,414070349107,True,True,True,True,4,732
P1727,Aadh Ya,Das,34,M,aadhya.das@yahoo.com,+91-6286828884,661094101759,1992-11-27,661094101759,True,True,True,True,4,748
P1727,Aadh Ya,Das,34,M,aadhya.das@gmail.com,+91-7444842082,176298334774,1992-04-07,176298334774,True,True,True,True,4,749
P1728,I Ra,Patel,72,F,ira.patel1@yahoo.com,+91-9973851617,831901302056,1954-10-18,831901302056,True,True,True,True,4,750
P1728,I Ra,Patel,72,F,ira.patel@gmail.com,+91-8298969036,873397855982,1954-02-15,873397855982,True,True,True,True,4,751
P1781,Arj Un,Singh,43,M,arjun.singh1@hotmail.com,+91-6278452642,371067287286,1983-07-01,371067287286,True,True,True,True,4,804
P1781,Arjunsin Gh,,43,M,arjunsingh.user@outlook.com,+91-6567592441,448595922483,1983-10-23,448595922483,True,True,True,False,3,805
P1807,Aadh Ya,Kulkarni,21,M,aadhya.kulkarni@gmail.com,+91-8624318145,903923555809,2005-10-25,903923555809,True,True,True,True,4,831
P1807,Aadh Ya,Kulkarni,21,M,aadhya.kulkarni@rediffmail.com,+91-6793183317,327303461562,2005-07-05,327303461562,True,True,True,True,4,832
P1811,Muhamm Ad,Banerjee,12,F,muhammad.banerjee@gmail.com,+91-9448571549,409150863218,2014-02-05,409150863218,True,True,True,True,4,838
P1811,Muhamm Ad,Banerjee,12,F,muhammad.banerjee@rediffmail.com,+91-6261477051,59438976074,2014-01-04,59438976074,False,True,True,True,3,836
P1811,Muhamm Ad,Bbanerjee,12,F,muhammad.bbanerjee@rediffmail.com,+91-9494175052,95465408424,2014-06-14,95465408424,False,True,True,True,3,837
P1858,My Ra,Gupta,17,F,myra.gupta3@hotmail.com,+91-6590650359,6661554164,2009-04-23,6661554164,False,True,True,True,3,885
P1858,My Ra,Gupta,17,F,myra.gupta1@gmail.com,+91-9606120516,45023290282,2009-03-23,45023290282,False,True,True,True,3,886
P1875,Isha An,Agarwal,42,F,ishaan.agarwal1@rediffmail.com,+91-7175594355,540641769274,1984-04-17,540641769274,True,True,True,True,4,903
P1875,Isha An,Agarwal,42,F,ishaan.agarwal@gmail.com,+91-6885720569,995376601444,1984-11-17,995376601444,True,True,True,True,4,904
P1889,Aadh Ya,Patel,70,M,aadhya.patel@hotmail.com,+91-6473235986,721514940976,1956-12-25,721514940976,True,True,True,True,4,918
P1889,Aadhyappat El,,70,M,aadhyappatel.user@yahoo.com,+91-9331073681,748453986289,1956-06-28,748453986289,True,True,True,False,3,919
P1905,Viva An,Pillai,84,M,vivaan.pillai@outlook.com,+91-7894668747,464844941163,1942-02-18,464844941163,True,True,True,True,4,935
